		          MRP PRICELIST

CODE	 SAP ID	ITEM 				 MRP
1 	2801	SHERGRIP SINK BRUSH		 69.00
2 	0746	C.KITCHEN MOPPY    		 65.00
3 	1763 	HEXA BIG 			 90.00
4	1788	PLUNGER MEDIUM			 70.00
5 	1748	C.KWICK N EAZEE			 50.00
6 	1993 	SPONGE WIPE			 41.00
7 	1994	SPONGE WIPE COMBI SET (3PCS) 	 109.00
8 	1995 	SPONGE WIPE COMBI SET (5PCS)	 169.00
9 	1761 	FRIDGE JAR CLEANER		 80.00
10 	1823 	TOILEX WITH SQUARE CONT		 175.00
11  9822 	TOILEX WITH ROUNDY CONT.	 199.00
